product_name_clean,date,price,main_category,sub_category,discount
دجاجة كاملة من شهد - 950/ 1000 جرام,2026-05-11,950.0,Fresh Foods,Meat & Poultry,0.0
أوراك دجاج متبلة,2026-05-11,83.0,Fresh Foods,Meat & Poultry,0.0
بيف برجر جرين لاين - 500 جرام,2026-05-11,500.0,Fresh Foods,Meat & Poultry,0.0
جرين لاين سجق - 500 جرام,2026-05-11,500.0,Fresh Foods,Meat & Poultry,0.0
هيلثيست حواوشي مجمد - 850-1000 جرام,2026-05-11,850.0,Fresh Foods,Meat & Poultry,0.0
تمري فرخة كاملة ماسلا - 1000 - 1100 جرام,2026-05-11,1000.0,Fresh Foods,Meat & Poultry,0.0
دجاجة كاملة من شهد - 1100/ 1200 جرام,2026-05-11,1100.0,Fresh Foods,Meat & Poultry,0.0
دجاجة كامل بالكاري,2026-05-11,108.0,Fresh Foods,Meat & Poultry,0.0
فخدة ضاني بلدي,2026-05-11,2.0,Fresh Foods,Meat & Poultry,0.0
فراخ شيش متبلة,2026-05-11,169.0,Fresh Foods,Meat & Poultry,0.0
تمري دجاج فيليه متبل - 1 كيلو,2026-05-11,518.0,Fresh Foods,Meat & Poultry,0.0
فرخة كاملة مليكة - 1100-1200 جرام,2026-05-11,13.0,Fresh Foods,Meat & Poultry,0.0
تمري فيليه دجاج تندوري متبل - 1 كجم,2026-05-11,518.0,Fresh Foods,Meat & Poultry,0.0
أوراك دجاج بالكاري,2026-05-11,83.0,Fresh Foods,Meat & Poultry,0.0
ريش ضاني بلدي,2026-05-11,350.0,Fresh Foods,Meat & Poultry,0.0
عرق فلتو بلدي,2026-05-11,8.0,Fresh Foods,Meat & Poultry,0.0
برجر - 850-1000 جرام,2026-05-11,850.0,Fresh Foods,Meat & Poultry,0.0
هيلثيست حواوشي مجمد - 850 - 1000 جرام,2026-05-11,850.0,Fresh Foods,Meat & Poultry,0.0
سمبوسك لحمة - 500 جرام,2026-05-11,500.0,Fresh Foods,Meat & Poultry,0.0
أوراك دجاج من تمري - 1كجم,2026-05-11,222.0,Fresh Foods,Meat & Poultry,0.0
أوراك رومي,2026-05-11,22.0,Fresh Foods,Meat & Poultry,0.0
دجاج اسكالوب بالبقسماط,2026-05-11,169.0,Fresh Foods,Meat & Poultry,0.0
كبد وكلاوي وقلب بقري بلدي,2026-05-11,249.0,Fresh Foods,Meat & Poultry,0.0
أجنحة دجاج,2026-05-11,51.0,Fresh Foods,Meat & Poultry,0.0
دجاجة كاملة من شهد - 1200/ 1300 جرام,2026-05-11,1200.0,Fresh Foods,Meat & Poultry,0.0
موزة ضاني بلدي,2026-05-11,320.0,Fresh Foods,Meat & Poultry,0.0
دجاجة كاملة من كوكي - 1200/ 1300 جرام,2026-05-11,1200.0,Fresh Foods,Meat & Poultry,0.0
شيش طاووق من شهد - 400 جم,2026-05-11,400.0,Fresh Foods,Meat & Poultry,0.0
دبابيس دجاج متبلة,2026-05-11,103.0,Fresh Foods,Meat & Poultry,0.0
مكعبات لحم ضاني بالعظم بلدي,2026-05-11,275.0,Fresh Foods,Meat & Poultry,0.0
سمبوسك بالجبنة - 500 جرام,2026-05-11,500.0,Fresh Foods,Meat & Poultry,0.0
